,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5211,0.3107615709304809,0.565101146697998,0.1735177785158157,0.2694146633148193,0.2563377916812897,0.1657299548387527,0.2800955176353454,0.1785964965820312,0.2184787094593048,0.1244155690073967,0.5165834426879883,0.151189923286438,0.2393937408924102,0.239354208111763,0.3132556974887848,0.3237912356853485,0.21134809
P5229,0.244961068034172,0.4123212099075317,0.2199225723743438,0.3344635367393493,0.250903457403183,0.2710426151752472,0.2656062841415405,0.2596251368522644,0.4343937933444977,0.3130305707454681,0.3643599152565002,0.1812634915113449,0.2600602209568023,0.2843478918075561,0.375396192073822,0.3636097311973572,0.3195461
P5216,0.3170816302299499,0.5174410939216614,0.2730511426925659,0.2659589946269989,0.2567109167575836,0.2976833283901214,0.2663161158561706,0.2155517041683197,0.2647314369678497,0.2607961893081665,0.3972005248069763,0.3025005459785461,0.1691726893186569,0.2160884141921997,0.3653313219547272,0.3111279010772705,0.20330358
P5220,0.3040831685066223,0.5419974327087402,0.1765931844711303,0.1862163841724395,0.2736623883247375,0.276156485080719,0.2132429331541061,0.1309901177883148,0.1728399097919464,0.2653540670871734,0.4232957363128662,0.1976368427276611,0.1882702857255935,0.1647564023733139,0.2687985897064209,0.4032410383224487,0.18447532
P5218,0.3267049193382263,0.3072497248649597,0.3308817744255066,0.3171993196010589,0.276443749666214,0.3250148892402649,0.2329136431217193,0.1900936067104339,0.4845063388347626,0.2076738774776458,0.4818154871463775,0.2172991186380386,0.2235698699951172,0.2338686287403106,0.3695700764656067,0.1598191410303115,0.13746709
P5227,0.2178003340959549,0.3373717963695526,0.1651555448770523,0.1669395416975021,0.2440386265516281,0.2757512032985687,0.2343024015426635,0.2151555716991424,0.3599457144737243,0.2637910842895508,0.4182210564613342,0.2206830531358719,0.2402387261390686,0.1753605604171753,0.4162836670875549,0.4438080191612243,0.28649172
P5245,0.3652888238430023,0.3311185240745544,0.2243358045816421,0.355943888425827,0.2418753802776336,0.2143922001123428,0.2196110785007476,0.1854928135871887,0.2075400799512863,0.2667838633060455,0.2692462503910064,0.163619264960289,0.1387881189584732,0.4251797795295715,0.2322977632284164,0.1894002854824066,0.1984344
P5228,0.194413959980011,0.3206821084022522,0.2178325653076172,0.275334358215332,0.2472325414419174,0.3050961792469024,0.2292786240577697,0.1838176995515823,0.3715928196907043,0.2023196220397949,0.4486600160598755,0.1727727204561233,0.1664873957633972,0.1918433457612991,0.3135146498680115,0.3583446443080902,0.21031286
P5210,0.389273852109909,0.4681659340858459,0.1934249252080917,0.2565138041973114,0.1720497161149978,0.2081356197595596,0.29763063788414,0.2492708414793014,0.3674006462097168,0.2425083369016647,0.5033785104751587,0.1944856345653534,0.2152684032917022,0.2081131935119629,0.3746366500854492,0.2606108784675598,0.22285806
P5244,0.2849884033203125,0.3306029140949249,0.2020567655563354,0.3848392963409424,0.1958777457475662,0.1864813268184662,0.2257616221904754,0.1890597343444824,0.1862631738185882,0.1609093099832534,0.3819333612918854,0.1975049823522567,0.2102693170309066,0.2296609729528427,0.3832926750183105,0.3390587270259857,0.17389125
P5243,0.3862012028694153,0.4705727696418762,0.2713431417942047,0.3452622592449188,0.1540836095809936,0.1644444912672042,0.3712451756000519,0.2103848457336425,0.3285222351551056,0.1633729040622711,0.4129614531993866,0.2829609215259552,0.2615558803081512,0.2324255406856537,0.2913692891597748,0.3750165998935699,0.19694225
P5236,0.4634654521942138,0.3379669785499573,0.232019692659378,0.2508968710899353,0.2527762651443481,0.3382626473903656,0.2987155020236969,0.1960287392139434,0.2133501023054123,0.1968495845794677,0.4039154946804046,0.2754039168357849,0.3150170445442199,0.1899838596582412,0.2160511016845703,0.3485699892044067,0.28006342
P5209,0.2833605110645294,0.3832630515098572,0.154275581240654,0.2246250361204147,0.224066287279129,0.1593481600284576,0.280120313167572,0.1980882287025451,0.1689881533384323,0.3358589708805084,0.324639230966568,0.1671508401632309,0.2241931110620498,0.2070935070514679,0.2880459129810333,0.3339599072933197,0.1648115
P5231,0.330632209777832,0.572457492351532,0.1167825683951377,0.1746260225772857,0.225417286157608,0.2326153218746185,0.2112158685922622,0.1550785154104232,0.3577298820018768,0.1036396324634552,0.3347833156585693,0.1470696181058883,0.2475519329309463,0.1576831340789795,0.2399691194295883,0.2954573929309845,0.17707455
P5207,0.3773781359195709,0.2002232521772384,0.2729214429855346,0.3810860514640808,0.2044089883565902,0.2255573719739914,0.3792672157287597,0.2929361760616302,0.2367121279239654,0.2571492493152618,0.4982191026210785,0.2134802639484405,0.1564299315214157,0.2307811230421066,0.3875312209129333,0.2709028124809265,0.17901476
P5238,0.2379291355609893,0.4230754971504211,0.1258119493722915,0.2132284790277481,0.223126620054245,0.1898018270730972,0.2131025046110153,0.1333287954330444,0.2668359279632568,0.1387234777212143,0.4747990369796753,0.2822353541851043,0.228903666138649,0.2184643596410751,0.4153088331222534,0.2894072532653808,0.21948977
P5254,0.2466406226158142,0.6019031405448914,0.239408791065216,0.1921526342630386,0.2403966635465622,0.2120006382465362,0.2581851482391357,0.2428440600633621,0.3127177953720093,0.1383266001939773,0.3251163363456726,0.1887442022562027,0.216422289609909,0.2032027840614318,0.264549970626831,0.2276705950498581,0.1596134
P5253,0.3054602444171905,0.4728588163852691,0.3146710991859436,0.3489460945129394,0.3665497601032257,0.3449057638645172,0.2725648880004883,0.2839007675647735,0.4441027343273163,0.2324963212013244,0.4116088449954986,0.2499258071184158,0.2365796566009521,0.1780768632888794,0.2521051466464996,0.370297372341156,0.2138731
P5201,0.2031130790710449,0.2356215119361877,0.3133263885974884,0.2709430754184723,0.1962177157402038,0.2625609338283539,0.3087309002876282,0.1955106705427169,0.3293288052082062,0.3244437277317047,0.4535288214683532,0.2307187169790268,0.1878452450037002,0.1684626191854477,0.25071981549263,0.271135002374649,0.20413525
P5206,0.2761134207248688,0.2570893764495849,0.2095838189125061,0.2833426594734192,0.2950979173183441,0.2088920027017593,0.2483183294534683,0.2199120670557022,0.2101249247789383,0.2147318720817566,0.252420961856842,0.2534251511096954,0.2338427156209945,0.2504348456859588,0.3845175504684448,0.3493682444095611,0.24827214
P5230,0.2946451306343078,0.4622671008110046,0.1631156206130981,0.1858873516321182,0.1467939764261245,0.1643233448266983,0.2220027446746826,0.1794634461402893,0.4783789813518524,0.1908005028963089,0.3760169744491577,0.1387367993593216,0.1620199531316757,0.1700845062732696,0.444183886051178,0.32970130443573,0.13706182
P5237,0.3046236634254455,0.592357337474823,0.2533802688121795,0.2737877070903778,0.3579779863357544,0.2255009561777115,0.2136734724044799,0.1420524567365646,0.4344854652881622,0.2713095545768738,0.4195112287998199,0.2594671249389648,0.1832608729600906,0.2253316789865493,0.2612852752208709,0.3857224285602569,0.22415397
P5208,0.3062596023082733,0.3677115738391876,0.1961893588304519,0.3851842582225799,0.1653074771165847,0.1868727356195449,0.2578712701797485,0.1749837547540664,0.3043883144855499,0.1970845609903335,0.3248825073242187,0.2481597810983657,0.2150399684906005,0.2410990893840789,0.304780900478363,0.3310259282588959,0.17338106
P5252,0.1359415799379348,0.2825571894645691,0.1264031678438186,0.261991798877716,0.1538352221250534,0.1815606504678726,0.2568491697311401,0.2295942306518554,0.3407538831233978,0.1468284279108047,0.3567308783531189,0.1842694282531738,0.1422195881605148,0.1460150331258773,0.2494225800037384,0.3297326266765594,0.19286521
P5215,0.2402689605951309,0.3548867404460907,0.1567713767290115,0.3148053288459778,0.3467338681221008,0.2146995961666107,0.359273225069046,0.1809563040733337,0.5182057619094849,0.241962045431137,0.4195765256881714,0.2586133778095245,0.2650499641895294,0.2563035786151886,0.32924684882164,0.3801806569099426,0.30099156
P5212,0.475444346666336,0.5472604632377625,0.2476114779710769,0.3725737333297729,0.2239215970039367,0.1907081753015518,0.2345597743988037,0.1687479019165039,0.3210274577140808,0.2380561381578445,0.3279975652694702,0.2451300770044326,0.1409656852483749,0.254884272813797,0.3297029137611389,0.2754178345203399,0.17950375
P5224,0.2621679306030273,0.4662624299526214,0.3382153809070587,0.4567974805831909,0.2743259370326996,0.3351334035396576,0.3398717641830444,0.2267310321331024,0.3298484981060028,0.2169065028429031,0.491888016462326,0.2413603514432907,0.1790251731872558,0.2507039308547973,0.3294242918491363,0.2293312698602676,0.23319529
P5247,0.2061558663845062,0.3666305840015411,0.2123386710882187,0.2460078299045562,0.1463169306516647,0.2356398850679397,0.2109271883964538,0.2475588321685791,0.1751860976219177,0.4286295175552368,0.3558266460895538,0.1980239152908325,0.1815869063138961,0.1693875938653946,0.3573762774467468,0.2013980150222778,0.17203735
P5249,0.2121768444776535,0.3749900758266449,0.1871117800474167,0.3005216717720032,0.1833467036485672,0.1684380322694778,0.2128739058971405,0.1510419398546219,0.1783805787563324,0.1337928026914596,0.4167039096355438,0.2544508278369903,0.2418084591627121,0.2162490487098693,0.288457989692688,0.3084794878959656,0.22628029
P5225,0.4483577907085418,0.5293713212013245,0.2250624299049377,0.258145272731781,0.2773496508598327,0.1591904908418655,0.1748441755771637,0.217482790350914,0.5579317808151245,0.1930297017097473,0.4055995047092438,0.2135495394468307,0.1754778623580932,0.2067909389734268,0.5059832334518433,0.2478426992893219,0.13788238
