,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5211,0.12002820521593094,0.31076157093048096,0.565101146697998,0.17351777851581573,0.26941466331481934,0.2563377916812897,0.16572995483875275,0.28009551763534546,0.17859649658203125,0.2184787094593048,0.1244155690073967,0.5165834426879883,0.151189923286438,0.23939374089241028,0.239354208111763,0.3132556974887848,0.3237912356853485
P5229,0.2119407206773758,0.24496106803417206,0.41232120990753174,0.21992257237434387,0.33446353673934937,0.250903457403183,0.2710426151752472,0.2656062841415405,0.2596251368522644,0.4343937933444977,0.31303057074546814,0.36435991525650024,0.1812634915113449,0.26006022095680237,0.28434789180755615,0.375396192073822,0.3636097311973572
P5216,0.1197938397526741,0.31708163022994995,0.5174410939216614,0.2730511426925659,0.2659589946269989,0.2567109167575836,0.29768332839012146,0.26631611585617065,0.2155517041683197,0.26473143696784973,0.2607961893081665,0.3972005248069763,0.30250054597854614,0.16917268931865692,0.2160884141921997,0.3653313219547272,0.3111279010772705
P5220,0.11774099618196487,0.3040831685066223,0.5419974327087402,0.17659318447113037,0.18621638417243958,0.27366238832473755,0.276156485080719,0.21324293315410614,0.13099011778831482,0.1728399097919464,0.26535406708717346,0.4232957363128662,0.19763684272766113,0.18827028572559357,0.1647564023733139,0.2687985897064209,0.40324103832244873
P5218,0.16650253534317017,0.3267049193382263,0.3072497248649597,0.3308817744255066,0.31719931960105896,0.276443749666214,0.3250148892402649,0.23291364312171936,0.19009360671043396,0.4845063388347626,0.20767387747764587,0.48181548714637756,0.21729911863803864,0.2235698699951172,0.23386862874031067,0.3695700764656067,0.15981914103031158
P5227,0.13463734090328217,0.2178003340959549,0.3373717963695526,0.1651555448770523,0.16693954169750214,0.2440386265516281,0.2757512032985687,0.23430240154266357,0.21515557169914246,0.35994571447372437,0.2637910842895508,0.41822105646133423,0.2206830531358719,0.2402387261390686,0.1753605604171753,0.41628366708755493,0.44380801916122437
P5245,0.15221300721168518,0.3652888238430023,0.33111852407455444,0.22433580458164215,0.355943888425827,0.24187538027763367,0.21439220011234283,0.21961107850074768,0.18549281358718872,0.20754007995128632,0.26678386330604553,0.26924625039100647,0.163619264960289,0.1387881189584732,0.42517977952957153,0.23229776322841644,0.18940028548240662
P5228,0.1572958528995514,0.194413959980011,0.3206821084022522,0.2178325653076172,0.27533435821533203,0.24723254144191742,0.30509617924690247,0.22927862405776978,0.18381769955158234,0.37159281969070435,0.20231962203979492,0.4486600160598755,0.17277272045612335,0.16648739576339722,0.19184334576129913,0.3135146498680115,0.3583446443080902
P5210,0.16283920407295227,0.38927385210990906,0.46816593408584595,0.19342492520809174,0.2565138041973114,0.17204971611499786,0.20813561975955963,0.29763063788414,0.24927084147930145,0.3674006462097168,0.24250833690166473,0.5033785104751587,0.1944856345653534,0.21526840329170227,0.2081131935119629,0.3746366500854492,0.2606108784675598
P5244,0.13092541694641113,0.2849884033203125,0.3306029140949249,0.20205676555633545,0.3848392963409424,0.19587774574756622,0.1864813268184662,0.22576162219047546,0.18905973434448242,0.18626317381858826,0.16090930998325348,0.3819333612918854,0.19750498235225677,0.21026931703090668,0.2296609729528427,0.38329267501831055,0.3390587270259857
P5243,0.12897832691669464,0.3862012028694153,0.4705727696418762,0.2713431417942047,0.3452622592449188,0.15408360958099365,0.16444449126720428,0.3712451756000519,0.21038484573364258,0.3285222351551056,0.16337290406227112,0.4129614531993866,0.2829609215259552,0.26155588030815125,0.2324255406856537,0.2913692891597748,0.37501659989356995
P5236,0.23307855427265167,0.46346545219421387,0.3379669785499573,0.23201969265937805,0.2508968710899353,0.25277626514434814,0.3382626473903656,0.2987155020236969,0.19602873921394348,0.2133501023054123,0.19684958457946777,0.40391549468040466,0.2754039168357849,0.31501704454421997,0.18998385965824127,0.2160511016845703,0.34856998920440674
P5209,0.12215451896190643,0.2833605110645294,0.3832630515098572,0.154275581240654,0.22462503612041473,0.22406628727912903,0.15934816002845764,0.280120313167572,0.19808822870254517,0.1689881533384323,0.3358589708805084,0.324639230966568,0.1671508401632309,0.22419311106204987,0.2070935070514679,0.2880459129810333,0.3339599072933197
P5231,0.14201241731643677,0.33063220977783203,0.572457492351532,0.11678256839513779,0.17462602257728577,0.22541728615760803,0.23261532187461853,0.21121586859226227,0.15507851541042328,0.35772988200187683,0.1036396324634552,0.33478331565856934,0.14706961810588837,0.24755193293094635,0.1576831340789795,0.23996911942958832,0.2954573929309845
P5207,0.2379968911409378,0.3773781359195709,0.20022325217723846,0.27292144298553467,0.3810860514640808,0.20440898835659027,0.2255573719739914,0.37926721572875977,0.29293617606163025,0.23671212792396545,0.25714924931526184,0.4982191026210785,0.21348026394844055,0.1564299315214157,0.23078112304210663,0.38753122091293335,0.2709028124809265
