,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5244,0.1558962911367416,0.3150649964809418,0.4495677351951599,0.1718171089887619,0.3087395131587982,0.2429230213165283,0.1288268268108368,0.1588798761367797,0.1477463245391845,0.6825785636901855,0.2908494472503662,0.3075925409793854,0.2239049822092056,0.1766732335090637,0.2536639869213104,0.3533082008361816,0.1854741722345352
P5243,0.1663299351930618,0.3716374635696411,0.4508868157863617,0.2724313139915466,0.2731789350509643,0.184419184923172,0.1753075569868087,0.1752745062112808,0.1637967377901077,0.2244622558355331,0.2057122886180877,0.3640899062156677,0.1728781163692474,0.1330062299966812,0.2161743193864822,0.267901748418808,0.1743424534797668
P5236,0.1182612776756286,0.4324775636196136,0.3892625570297241,0.2122506350278854,0.336881160736084,0.2232778221368789,0.2105066776275634,0.3229298889636993,0.2332261502742767,0.2134408503770828,0.1702798306941986,0.3713457584381103,0.2853409051895141,0.2286746054887771,0.3449801802635193,0.3324941396713257,0.3262347280979156
P5209,0.1575077921152115,0.2796895802021026,0.4826427102088928,0.3438058197498321,0.2782742977142334,0.2025344520807266,0.2199748754501342,0.1514253467321396,0.1857399642467498,0.2426750212907791,0.1965322792530059,0.4234625101089477,0.2037936598062515,0.2771822214126587,0.1838206201791763,0.3915839195251465,0.1952855288982391
P5231,0.2178150415420532,0.2116453051567077,0.4142171442508697,0.2913065552711487,0.4136785566806793,0.253935158252716,0.2255612164735794,0.220158576965332,0.1821021288633346,0.4941096603870392,0.2119906395673751,0.3272950053215027,0.1839382946491241,0.2081263810396194,0.1833746284246444,0.2206429094076156,0.3070614337921142
P5207,0.1554938554763794,0.2442820221185684,0.3411851525306701,0.2471857070922851,0.34921595454216,0.157633289694786,0.1697297245264053,0.2249953597784042,0.172152891755104,0.2095893919467926,0.1805994212627411,0.2767352759838104,0.1180931776762008,0.1299178898334503,0.3119218647480011,0.2334076911211013,0.1779488772153854
P5238,0.2801682651042938,0.3755379617214203,0.5534644722938538,0.5115276575088501,0.3846571743488312,0.25707972049713135,0.29556283354759216,0.27756068110466003,0.2401542216539383,0.18361568450927734,0.23155316710472107,0.34284406900405884,0.20919162034988403,0.19775408506393433,0.42794305086135864,0.4011366069316864,0.26032841205596924
P5254,0.21081925928592682,0.29949501156806946,0.4807583689689636,0.2249879539012909,0.31886181235313416,0.20673391222953796,0.24649818241596222,0.2003551572561264,0.16460470855236053,0.1946181356906891,0.37423399090766907,0.45058727264404297,0.2187327891588211,0.19318725168704987,0.3127838373184204,0.2619752585887909,0.20221485197544098
P5253,0.21250653266906738,0.36163240671157837,0.4854975938796997,0.30772170424461365,0.29705142974853516,0.21953879296779633,0.2870275676250458,0.2036476582288742,0.37889841198921204,0.2279546558856964,0.23162131011486053,0.39847609400749207,0.2126898169517517,0.31768983602523804,0.2771739959716797,0.36419856548309326,0.3889908790588379
P5201,0.18911662697792053,0.31012552976608276,0.3495083153247833,0.3157918155193329,0.40581008791923523,0.2034943699836731,0.32381945848464966,0.41304415464401245,0.2773638069629669,0.3437153100967407,0.1676492840051651,0.47755512595176697,0.22996945679187775,0.24256379902362823,0.21836699545383453,0.3237926661968231,0.26199430227279663
P5206,0.29649874567985535,0.3501378893852234,0.5143105387687683,0.31256020069122314,0.44923901557922363,0.1825677752494812,0.20281174778938293,0.30972132086753845,0.249752476811409,0.2885062098503113,0.27834194898605347,0.4402834177017212,0.14354149997234344,0.2155693769454956,0.45053502917289734,0.41345056891441345,0.22395065426826477
P5230,0.16819192469120026,0.3091926574707031,0.26363012194633484,0.2338763177394867,0.27128466963768005,0.25792205333709717,0.19293487071990967,0.17598360776901245,0.17557458579540253,0.18916361033916473,0.22481100261211395,0.2922172546386719,0.15775209665298462,0.12315495312213898,0.3742498457431793,0.3110252916812897,0.2141301929950714
P5237,0.11387869715690613,0.24245628714561462,0.43696051836013794,0.3034377992153168,0.3562549948692322,0.3230222463607788,0.25737953186035156,0.2809016704559326,0.1683541238307953,0.290620893239975,0.24602465331554413,0.5075913071632385,0.12173078954219818,0.21219944953918457,0.17539742588996887,0.3611908257007599,0.3191799819469452
P5208,0.14635738730430603,0.19939860701560974,0.349884033203125,0.15753434598445892,0.2517944276332855,0.17119725048542023,0.18353325128555298,0.24815836548805237,0.2154972106218338,0.35677772760391235,0.1878175437450409,0.39433255791664124,0.20002545416355133,0.23210543394088745,0.2143809050321579,0.29326698184013367,0.23994553089141846
P5252,0.15214861929416656,0.29299649596214294,0.37704896926879883,0.4767354428768158,0.4180205464363098,0.2080731987953186,0.32264530658721924,0.3082139492034912,0.2543371617794037,0.5286157727241516,0.21131016314029694,0.5029244422912598,0.17729008197784424,0.1886547952890396,0.3152366280555725,0.3577238917350769,0.22434385120868683
P5215,0.17145571112632751,0.3813822865486145,0.4645737409591675,0.1813816875219345,0.32112476229667664,0.20744547247886658,0.16487541794776917,0.32769232988357544,0.22794818878173828,0.2529238760471344,0.200647234916687,0.36466777324676514,0.1939457356929779,0.2746157646179199,0.16739577054977417,0.4941245913505554,0.3269912302494049
P5212,0.2528044283390045,0.22665877640247345,0.300959050655365,0.2717696726322174,0.2924170196056366,0.20003336668014526,0.19513018429279327,0.17096711695194244,0.22863708436489105,0.29370251297950745,0.4181888997554779,0.2608560025691986,0.16929283738136292,0.23150192201137543,0.3291468322277069,0.3489682376384735,0.23601830005645752
P5224,0.11063297837972641,0.3082423508167267,0.4388541281223297,0.2615137994289398,0.27889835834503174,0.2306492179632187,0.22055521607398987,0.25292035937309265,0.1657010167837143,0.31171607971191406,0.15515154600143433,0.3879718482494354,0.3244393467903137,0.3130059242248535,0.20445485413074493,0.3106738030910492,0.34676599502563477
P5247,0.3141429126262665,0.37944796681404114,0.6118144989013672,0.4722127318382263,0.31341519951820374,0.16964493691921234,0.3663293421268463,0.24561302363872528,0.26782622933387756,0.24010427296161652,0.2164890021085739,0.5765042304992676,0.23606692254543304,0.2178901582956314,0.27157509326934814,0.3694057762622833,0.2743285000324249
P5249,0.16593298316001892,0.2468528002500534,0.40818390250205994,0.3973918855190277,0.4133826196193695,0.21332575380802155,0.294601172208786,0.27486857771873474,0.20642557740211487,0.4744683504104614,0.17232468724250793,0.3269045054912567,0.19334310293197632,0.23956233263015747,0.23134319484233856,0.3134447932243347,0.29953011870384216
P5225,0.18310998380184174,0.3045525848865509,0.494357168674469,0.47698917984962463,0.3224128484725952,0.1897265762090683,0.3550228774547577,0.3531435430049896,0.29065588116645813,0.2530651390552521,0.22913368046283722,0.2550107538700104,0.21021974086761475,0.21896572411060333,0.18843358755111694,0.35274559259414673,0.2824349105358124
